common_name,ra_current,dec_current,coords_sexagesimal,distance
Barnard's Star,269.4462683,4.768204473,17h57m47.10s +04d46m05.54s,1.828233981
BD J133.8-7.25,133.79513,-7.24515,08h55m10.83s -07d14m42.54s,2.277904328
Wolf 359,164.0923699,6.995228998,10h56m22.17s +06d59m42.82s,2.408597253
Lalande 21185,165.8289697,35.93538471,11h03m18.95s +35d56m07.38s,2.546129855
Sirius A,101.2852868,-16.72347286,06h45m08.47s -16d43m24.50s,2.670301125
Luyten 726-8 A,24.78095548,-17.94606025,01h39m07.43s -17d56m45.82s,2.674910296
Ross 154,282.4607307,-23.83763621,18h49m50.58s -23d50m15.49s,2.975954865
Ross 248,355.480451,44.16595445,23h41m55.31s +44d09m57.44s,3.159745482
Epsilon Eridani,53.22554844,-9.458110217,03h32m54.13s -09d27m29.20s,3.219810408
Ross 128,176.9393751,0.795722669,11h47m45.45s +00d47m44.60s,3.374897355
61 Cygni B,316.7682904,38.76483836,21h07m04.39s +38d45m53.42s,3.496438068
61 Cygni A,316.7633161,38.77288821,21h07m03.20s +38d46m22.40s,3.496565257
Struve 2398 A,280.6758613,59.64333639,18h42m42.21s +59d38m36.01s,3.523110147
Struve 2398 A,280.6753905,59.64031891,18h42m42.09s +59d38m25.15s,3.523139319
Groombridge 34 B,4.624396927,44.02593018,00h18m29.86s +44d01m33.35s,3.562435691
Groombridge 34 B,4.636361091,44.02967852,00h18m32.73s +44d01m46.84s,3.562589138
Gaia DR3 703790044252850688,127.4466274,26.77158539,08h29m47.19s +26d46m17.71s,3.581025219
Tau Ceti,26.00408145,-15.93130525,01h44m00.98s -15d55m52.70s,3.652170961
YZ Cet,18.13675453,-16.99438388,01h12m32.82s -16d59m39.78s,3.71668036
Gaia DR3 3139847906307949696,111.8562218,5.19912857,07h27m25.49s +05d11m56.86s,3.78605893
Teegarden's Star,43.2795952,16.85380263,02h53m07.10s +16d51m13.69s,3.83158732
BD J110.61-5.68,110.61463,-5.67534,07h22m27.51s -05d40m31.22s,4.118616145
Wolf 1061,247.5745459,-12.67113974,16h30m17.89s -12d40m16.10s,4.307764238
Van Maanen's Star,12.30017588,5.369023591,00h49m12.04s +05d22m08.48s,4.314436103
Gaia DR3 3902874650602495232,188.3094424,9.022696559,12h33m14.27s +09d01m21.71s,4.326784786
GJ 9066,30.06211337,13.03915028,02h00m14.91s +13d02m20.94s,4.469631569
Gaia DR3 3902874650601954816,188.309866,9.022393338,12h33m14.37s +09d01m20.62s,4.47472393
GJ 687,264.1016403,68.32997014,17h36m24.39s +68d19m47.89s,4.549802251
Gaia DR3 3757613049856225792,162.0568244,-11.34705353,10h48m13.64s -11d20m49.39s,4.559335388
Gaia DR3 2079073928612821760,298.4832844,44.41157192,19h53m55.99s +44d24m41.66s,4.660385954
BD J265.3525.89,265.35259,25.89288,17h41m24.62s +25d53m34.37s,4.666355576
GJ 876,343.326856,-14.26856049,22h53m18.45s -14d16m06.82s,4.67206782
GJ 1002,1.674076352,-7.551734349,00h06m41.78s -07d33m06.24s,4.846134286
Gaia DR3 823773494718931968,152.8271039,49.45058383,10h11m18.50s +49d27m02.10s,4.870569914
Gaia DR3 778947814402602752,166.325176,43.53355434,11h05m18.04s +43d32m00.80s,4.904663331
Gaia DR3 778947608243864320,166.3354626,43.52857502,11h05m20.51s +43d31m42.87s,4.905992744
Gaia DR3 625453654702751872,154.897341,19.86968927,10h19m35.36s +19d52m10.88s,4.965085
Gaia DR3 WD_Unknown_ID,63.82451969,-7.682226965,04h15m17.88s -07d40m56.02s,5.007734446
Gaia DR3 3195919528989223040,63.80167426,-7.677582793,04h15m12.40s -07d40m39.30s,5.009818934
Gaia DR3 3195919254111314816,63.82335734,-7.680375069,04h15m17.61s -07d40m49.35s,5.013747229
Gaia DR3 1934263333784036736,341.700083,44.33067851,22h46m48.02s +44d19m50.44s,5.051594436
Gaia DR3 4468557611977674496,271.3668383,2.491231108,18h05m28.04s +02d29m28.43s,5.105783368
Gaia DR3 4468557611984384512,271.365028,2.492147729,18h05m27.61s +02d29m31.73s,5.113327847
Gaia DR3 660597997696173440,134.5569256,19.76268156,08h58m13.66s +19d45m45.65s,5.15080769
Gaia DR3 1695191332232990720,226.6927161,70.46451385,15h06m46.25s +70d27m52.25s,5.156201116
BD J226.7270.46,226.7185,70.45699,15h06m52.44s +70d27m25.16s,5.167958656
Gaia DR3 3316364602541746048,90.01683614,2.706261945,06h00m04.04s +02d42m22.54s,5.207968174
Gaia DR3 1129149723913123456,176.9500128,78.69463283,11h47m48.00s +78d41m40.68s,5.254166558
BD J144.9-24.81,144.89787,-24.80776,09h39m35.49s -24d48m27.94s,5.339028297
GJ 3323,75.48526124,-6.950069763,05h01m56.46s -06d57m00.25s,5.374996644
Gaia DR3 3741297293732404352,206.4456704,14.88101055,13h45m46.96s +14d52m51.64s,5.434894991
Gaia DR3 WD_Unknown_ID,67.8210834,58.9640709,04h31m17.06s +58d57m50.66s,5.516541349
Gaia DR3 470826482637310080,67.81619627,58.96229616,04h31m15.89s +58d57m44.27s,5.517428926
BD J168.71-26.31,168.7139,-26.30654,11h14m51.34s -26d18m23.54s,5.580357143
