common_name,ra_current,dec_current,coords_sexagesimal,distance
HIP 65 A,0.183063223,-54.83133929,00h00m43.94s -54d49m52.82s,61.7856
GJ 3021,4.081218224,-79.85182809,00h16m19.49s -79d51m06.58s,17.5559
HIP 5763,18.49545173,16.49385811,01h13m58.91s +16d29m37.89s,31.9043
HD 7924,20.49456781,76.70991162,01h21m58.70s +76d42m35.68s,16.9922
HD 9446,23.33661744,29.26453122,01h33m20.79s +29d15m52.31s,50.3503
ups And,24.19669493,41.40104931,01h36m47.21s +41d24m03.78s,13.4054
HS Psc,24.34833797,26.95188208,01h37m23.60s +26d57m06.78s,37.6604
HD 10180,24.47290236,-60.51142834,01h37m53.50s -60d30m41.14s,38.9607
HD 12484,30.61179518,2.815729718,02h02m26.83s +02d48m56.63s,48.3367
GJ 86,32.64676776,-50.81638354,02h10m35.22s -50d48m58.98s,10.7836
HD 13908,34.56131134,65.59390733,02h18m14.71s +65d35m38.07s,79.5515
HD 17156,42.43871085,71.75284843,02h49m45.29s +71d45m10.25s,78.0863
TOI-4641,42.55869423,25.33338976,02h50m14.09s +25d20m00.20s,86.3501
HIP 14810,47.80924571,21.09674631,03h11m14.22s +21d05m48.29s,50.48
HD 285507,61.75659753,15.33479989,04h07m01.58s +15d20m05.28s,45.0293
HD 27894,65.20015653,-59.40772822,04h20m48.04s -59d24m27.82s,43.8214
HD 35759,82.88817767,64.31770475,05h31m33.16s +64d19m03.74s,71.2423
TIC 46432937,83.8688794,-14.59692425,05h35m28.53s -14d35m48.93s,90.5369
HD 37605,85.00780865,6.057725869,05h40m01.87s +06d03m27.81s,46.7864
HD 38529,86.64457523,1.166561138,05h46m34.70s +01d09m59.62s,42.3538
BD-06 1339,88.25117351,-5.998841896,05h53m00.28s -05d59m55.83s,20.2695
HD 40307,88.51646132,-60.02416333,05h54m03.95s -60d01m26.99s,12.9363
HD 43691,94.89483019,41.09169194,06h19m34.76s +41d05m30.09s,85.6009
HIP 34222,106.4253814,27.46971257,07h05m42.09s +27d28m10.97s,22.8386
HAT-P-20,111.91639,24.33542347,07h27m39.93s +24d20m07.52s,71.0374
HD 68988,124.5954828,61.4610704,08h18m22.92s +61d27m39.85s,60.8447
DENIS-P J082303.1-491201,125.7603215,-49.20021556,08h23m02.48s -49d12m00.78s,20.77
HD 72892,128.7202433,-14.45866179,08h34m52.86s -14d27m31.18s,69.7311
HD 74156,130.6049586,4.575787239,08h42m25.19s +04d34m32.83s,57.603
55 Cnc,133.1428508,28.32812786,08h52m34.28s +28d19m41.26s,12.5855
HD 80606,140.6575866,50.60385107,09h22m37.82s +50d36m13.86s,66.4711
BD-08 2823,150.1944465,-9.516385011,10h00m46.67s -09d30m58.99s,41.3342
HD 87646,151.6689905,17.89477749,10h06m40.56s +17d53m41.20s,73.58352
HD 88133,152.5318507,18.18381336,10h10m07.64s +18d11m01.73s,73.6123
WASP-43,154.9078787,-9.806718935,10h19m37.89s -09d48m24.19s,86.7467
HAT-P-22,155.6811643,50.1293162,10h22m43.48s +50d07m45.54s,81.7647
KELT-24,161.907738,71.65547561,10h47m37.86s +71d39m19.71s,96.5173
BD-10 3166,164.6177654,-10.77048318,10h58m28.26s -10d46m13.74s,84.4069
HIP 57274,176.1703207,30.95489162,11h44m40.88s +30d57m17.61s,25.8618
HD 103720,179.1708682,-2.779449827,11h56m41.01s -02d46m46.02s,45.5352
HD 109246,188.0225404,74.48898653,12h32m05.41s +74d29m20.35s,67.8349
TOI-756,192.1015097,-45.47025993,12h48m24.36s -45d28m12.94s,86.1759
HIP 65407,201.0876641,48.88411415,13h24m21.04s +48d53m02.81s,61.7804
70 Vir,202.1047382,13.77214645,13h28m25.14s +13d46m19.73s,17.9011
HD 118203,203.5089077,53.72761767,13h34m02.14s +53d43m39.42s,92.2589
tau Boo,206.8099168,17.45763191,13h47m14.38s +17d27m27.47s,15.6521
TOI-3235,207.4720753,-46.06697628,13h49m53.30s -46d04m01.11s,72.811
HIP 67851,208.4627526,-35.31515306,13h53m51.06s -35d18m54.55s,64.1181
HD 121504,209.3166846,-56.04102082,13h57m16.00s -56d02m27.67s,41.6592
HD 125595,215.3381066,-40.39473902,14h21m21.15s -40d23m41.06s,28.1989
24 Boo,217.1521188,49.84431063,14h28m36.51s +49d50m39.52s,95.9863
HD 130322,221.8848528,-0.283091947,14h47m32.36s -00d16m59.13s,31.8766
WASP-189,225.6863663,-3.031659199,15h02m44.73s -03d01m53.97s,99.731
HD 143105,238.4023984,68.71974899,15h53m36.58s +68d43m11.10s,46.7789
rho CrB,240.2583485,33.29460754,16h01m02.00s +33d17m40.59s,17.4671
HD 145377,242.9021425,-27.07802573,16h11m36.51s -27d04m40.89s,53.4884
HIP 79431,243.1745192,-18.87797062,16h12m41.88s -18d52m40.69s,14.5324
HD 147018,245.7462979,-61.69241306,16h22m59.11s -61d41m32.69s,40.4256
HD 149143,248.2126041,2.083828251,16h32m51.02s +02d05m01.78s,73.2801
HD 159243,263.3391377,5.700982623,17h33m21.39s +05d42m03.54s,73.3055
HIP 86221,264.2942032,27.89811884,17h37m10.61s +27d53m53.23s,29.4898
HD 162020,267.6601173,-40.31864746,17h50m38.43s -40d19m07.13s,30.8248
HD 163607,268.4171487,56.3933337,17h53m40.12s +56d23m36.00s,67.7855
HD 168443,275.0153163,-9.598310335,18h20m03.68s -09d35m53.92s,39.6245
HIP 91258,279.2205157,61.69983277,18h36m52.92s +61d41m59.40s,45.8846
WD 1856+534,284.4185988,53.5086451,18h57m40.46s +53d30m31.12s,24.7359
HD 176986,285.7729797,-11.04664477,19h03m05.52s -11d02m47.92s,27.7843
TOI-1130,286.3761245,-41.4378362,19h05m30.27s -41d26m16.21s,58.2609
HD 178911 B,287.2637108,34.60211203,19h09m03.29s +34d36m07.60s,40.9727
HIP 94235,287.7413126,-60.27336342,19h10m57.92s -60d16m24.11s,58.5146
HD 179079,287.7894014,-2.639416143,19h11m09.46s -02d38m21.90s,69.7116
HD 179949,288.8899568,-24.18053226,19h15m33.59s -24d10m49.92s,27.4573
HD 181433,291.2831961,-66.46608092,19h25m07.97s -66d27m57.89s,26.8762
HD 185269,294.2985079,28.49893058,19h37m11.64s +28d29m56.15s,51.9917
HD 187123,296.7441269,34.41809731,19h46m58.59s +34d25m05.15s,45.9548
HD 189733,300.1820965,22.70796872,20h00m43.70s +22d42m28.69s,19.7638
WASP-80,303.1658401,-2.144801111,20h12m39.80s -02d08m41.28s,49.7876
HD 192263,303.4986337,-0.863872682,20h13m59.67s -00d51m49.94s,19.6359
HD 195019,307.0819097,18.76884232,20h28m19.66s +18d46m07.83s,37.6681
TIC 393818343,310.2912898,3.637654465,20h41m09.91s +03d38m15.56s,93.7345
TOI-5205,313.7710131,24.36135372,20h55m05.04s +24d21m40.87s,86.4493
TOI-1278,320.4776483,35.6482865,21h21m54.64s +35d38m53.83s,75.5759
WASP-145 A,322.2552592,-58.83606581,21h29m01.26s -58d50m09.84s,91.299
HAT-P-17,324.5353043,30.48727118,21h38m08.47s +30d29m14.18s,92.3831
HD 209458,330.7952477,18.88411269,22h03m10.86s +18d53m02.81s,48.3016
HD 212301,336.8830055,-77.7189878,22h27m31.92s -77d43m08.36s,54.2304
HD 215152,340.8369738,-6.404161044,22h43m20.87s -06d24m14.98s,21.5974
HD 215497,341.6519969,-56.60023915,22h46m36.48s -56d36m00.86s,40.5468
GJ 876,343.3311126,-14.27146086,22h53m19.47s -14d16m17.26s,4.67517
HD 216770,343.9767051,-26.66081227,22h55m54.41s -26d39m38.92s,36.6625
HD 217107,344.5646729,-2.395555625,22h58m15.52s -02d23m44.00s,20.0619
K2-417,350.1427476,-10.03763118,23h20m34.26s -10d02m15.47s,94.0424
TOI-251,353.0624705,-37.25584916,23h32m14.99s -37d15m21.06s,99.523
WASP-8,359.9018417,-35.0312799,23h59m36.44s -35d01m52.61s,89.9606
HD 224693,359.9761332,-22.42780596,23h59m54.27s -22d25m40.10s,93.5015
