# Mountain elevation from Marin Anderson
# Azimuth_deg Elevation_deg
0.00000000 3.24758334
0.36036036 3.39746576
0.72072072 3.54697752
1.08108108 3.61170194
1.44144144 3.69252466
1.80180180 3.69801557
2.16216216 3.76832287
2.52252252 3.77015644
2.88288288 3.86443064
3.24324324 4.00949066
3.60360360 3.97493541
3.96396396 3.94435648
4.32432432 4.01040396
4.68468468 4.08078610
5.04504505 4.10373633
5.40540541 4.02862760
5.76576577 4.00562021
6.12612613 3.96221343
6.48648649 4.10162504
6.84684685 4.13859733
7.20720721 4.15639280
7.56756757 4.23686234
7.92792793 4.36458637
8.28828829 4.44932304
8.64864865 4.40270163
9.00900901 4.37006213
9.36936937 4.43611704
9.72972973 4.51395161
10.09009009 4.56871420
10.45045045 4.56383588
10.81081081 4.46254857
11.17117117 4.49655295
11.53153153 4.49630480
11.89189189 4.52933353
12.25225225 4.63653429
12.61261261 4.63406428
12.97297297 4.71635113
13.33333333 4.73492213
13.69369369 4.75497899
14.05405405 4.76673943
14.41441441 4.80168297
14.77477477 4.86600173
15.13513514 4.94931778
15.49549550 5.03998745
15.85585586 5.11518060
16.21621622 5.07509212
16.57657658 5.13689862
16.93693694 5.23369838
17.29729730 5.34438060
17.65765766 5.46529392
18.01801802 5.58935831
18.37837838 5.67126389
18.73873874 5.75748152
19.09909910 5.86890833
19.45945946 6.00534524
19.81981982 6.15703931
20.18018018 6.29795694
20.54054054 6.42655513
20.90090090 6.54160354
21.26126126 6.59673598
21.62162162 6.64776248
21.98198198 6.72460196
22.34234234 6.84694460
22.70270270 6.82691941
23.06306306 6.74359603
23.42342342 6.80026743
23.78378378 6.90986937
24.14414414 7.03081654
24.50450450 7.12387371
24.86486486 7.19677351
25.22522523 7.27601333
25.58558559 7.33810843
25.94594595 7.40176743
26.30630631 7.46547185
26.66666667 7.58230339
27.02702703 7.67297557
27.38738739 7.75613425
27.74774775 7.75987948
28.10810811 7.67689288
28.46846847 7.70986127
28.82882883 7.74828869
29.18918919 7.82606733
29.54954955 7.91769954
29.90990991 8.08139796
30.27027027 8.26666502
30.63063063 8.45369904
30.99099099 8.64152505
31.35135135 8.82878977
31.71171171 9.00076322
32.07207207 9.16553142
32.43243243 9.27001881
32.79279279 9.48009151
33.15315315 9.68976508
33.51351351 9.88297510
33.87387387 10.04604777
34.23423423 10.14904691
34.59459459 10.24597314
34.95495495 10.31279967
35.31531532 10.38157735
35.67567568 10.45492944
36.03603604 10.49453060
36.39639640 10.46901495
36.75675676 10.43766030
37.11711712 10.40043519
37.47747748 10.38728784
37.83783784 10.37446029
38.19819820 10.38420096
38.55855856 10.49721498
38.91891892 10.63262110
39.27927928 10.71654419
39.63963964 10.74601772
40.00000000 10.79825353
40.36036036 10.87635437
40.72072072 10.99340557
41.08108108 11.07009399
41.44144144 11.13458771
41.80180180 11.22147019
42.16216216 11.33271247
42.52252252 11.46018611
42.88288288 11.57672154
43.24324324 11.64938990
43.60360360 11.74057633
43.96396396 11.85141579
44.32432432 11.95260885
44.68468468 12.02305630
45.04504505 12.09391985
45.40540541 12.20725200
45.76576577 12.34662742
46.12612613 12.49629463
46.48648649 12.63557413
46.84684685 12.71484311
47.20720721 12.77646095
47.56756757 12.81238408
47.92792793 12.83762195
48.28828829 12.85557373
48.64864865 12.87728063
49.00900901 12.93164333
49.36936937 12.99005972
49.72972973 13.02440359
50.09009009 13.04944620
50.45045045 13.04913968
50.81081081 13.02943077
51.17117117 13.03436172
51.53153153 13.03312820
51.89189189 13.03609523
52.25225225 13.03412927
52.61261261 12.99980111
52.97297297 12.92994395
53.33333333 12.85325827
53.69369369 12.75777339
54.05405405 12.64388102
54.41441441 12.50498126
54.77477477 12.38392169
55.13513514 12.28812918
55.49549550 12.48224749
55.85585586 12.51800138
56.21621622 12.56011269
56.57657658 12.63030365
56.93693694 12.59735842
57.29729730 12.63828867
57.65765766 12.79142632
58.01801802 12.91949241
58.37837838 13.08756991
58.73873874 13.25217156
59.09909910 13.42528979
59.45945946 13.44593631
59.81981982 13.45834443
60.18018018 13.51810200
60.54054054 13.61973952
60.90090090 13.72370814
61.26126126 13.81263722
61.62162162 13.74100084
61.98198198 13.68037875
62.34234234 13.55771331
62.70270270 13.41461843
63.06306306 13.26413634
63.42342342 13.30734438
63.78378378 13.38132360
64.14414414 13.41695510
64.50450450 13.39729560
64.86486486 13.36978127
65.22522523 13.33736958
65.58558559 13.35205307
65.94594595 13.43782480
66.30630631 13.50317613
66.66666667 13.46905219
67.02702703 13.43436814
67.38738739 13.39367495
67.74774775 13.35043110
68.10810811 13.31344760
68.46846847 13.23029622
68.82882883 13.09778918
69.18918919 12.96123967
69.54954955 12.99280146
69.90990991 13.01736546
70.27027027 13.02080051
70.63063063 12.98199463
70.99099099 12.90051659
71.35135135 12.79525760
71.71171171 12.67767115
72.07207207 12.78128895
72.43243243 12.88956916
